Time, T_zad, F_zm, T_zm, T_pm, T_pco, T_zco, T_0, F_cob0, F_cob1, T_r0, T_r1
 0:00,20,225,77,71.2703,29.5454,42.9464,3.2,1.13873,1.13873,14.9679,14.9679
 0:05,20,225,77.125,78.3919,34.207,40.9349,3.15,1.14605,1.14605,14.941,14.941
 0:10,20,225,77.125,84.4736,36.8697,40.9096,3.15,1.15217,1.15217,14.9244,14.9244
 0:15,20,225,77.125,86.3231,37.5734,43.483,3.15,1.15595,1.15595,14.9192,14.9192
 0:20,20,225,77.125,77.9819,37.7297,46.8373,3.15,1.15716,1.15716,14.9264,14.9264
 0:25,20,225,77.125,60.95,37.8733,50.1535,3.15,1.15552,1.15552,14.9408,14.9408
 0:30,20,225,77.125,50.615,38.1052,52.7999,3.15,1.15224,1.15224,14.9587,14.9587
 0:35,20,225,77.125,62.5306,38.4811,54.2184,3.15,1.14818,1.14818,14.9777,14.9777
 0:40,20,225,77.125,96.4628,38.9982,54.528,3.15,1.14384,1.14384,14.9973,14.9973
 0:45,20,225,77.125,128.991,39.6136,54.7446,3.15,1.1394,1.1394,15.0174,15.0174
 0:50,20,225,77.125,123.225,40.2736,56.3249,3.15,1.13483,1.13483,15.0383,15.0383
 0:55,20,225,77.125,61.586,40.9429,59.8678,3.15,1.13008,1.13008,15.0602,15.0602
 1:00,20,225,77.125,-21.6517,41.6292,63.9263,3.15,1.12509,1.12509,15.0834,15.0834
 1:05,20,225,77.375,-47.0878,42.3772,65.4187,3.05,1.11981,1.11981,15.108,15.108
 1:10,20,225,77.125,49.2607,43.223,62.0837,3.15,1.11422,1.11422,15.134,15.134
 1:15,20,225,77.125,235.305,44.1351,55.5095,3.15,1.1083,1.1083,15.1616,15.1616
 1:20,20,225,77.375,360.03,44.9966,51.7768,3.05,1.10202,1.10202,15.1908,15.1908
 1:25,20,225,77.375,246.814,45.674,57.4922,3.05,1.09537,1.09537,15.2218,15.2218
 1:30,20,225,77.375,-125.525,46.1479,72.794,3.05,1.08831,1.08831,15.2547,15.2547
 1:35,20,0,77.125,-555.328,46.5981,87.1951,3.15,1.08084,1.08084,15.2891,15.2891
 1:40,20,0,77.375,-869.46,47.3207,84.1541,3.05,1.073,1.073,15.3251,15.3251
 1:45,20,0,77.375,-985.044,48.4674,51.5087,3.05,1.06482,1.06482,15.3621,15.3621
 1:50,20,0,77.375,-900.639,49.7597,-11.7519,3.05,1.05638,1.05638,15.4006,15.4006
 1:55,20,225,77.375,-534.984,50.3862,-92.8968,3.05,1.04763,1.04763,15.4406,15.4406
 2:00,20,225,77.375,672.846,49.1979,-170.888,3.05,1.03851,1.03851,15.4828,15.4828
 2:05,20,225,77.375,1529.82,45.1683,-214.675,3.05,1.02893,1.02893,15.5265,15.5265
 2:10,20,225,77.375,1589.09,37.9058,-186.16,3.05,1.01898,1.01898,15.5697,15.5697
 2:15,20,225,77.375,47.4667,28.1551,-91.463,3.05,1.00913,1.00913,15.6083,15.6083
 2:20,20,225,77.375,-2620.76,17.9042,36.9501,3.05,1.00035,1.00035,15.6365,15.6365
 2:25,20,225,77.375,-3849.69,9.66616,98.5729,3.05,0.993923,0.993923,15.6484,15.6484
 2:30,20,225,77.375,-1426.94,5.49048,12.6204,3.05,0.991222,0.991222,15.6399,15.6399
 2:35,20,225,77.375,4074.34,5.01948,-188.82,3.05,0.993161,0.993161,15.6108,15.6108
 2:40,20,225,77.375,8550.37,5.28216,-338.987,3.05,0.999809,0.999809,15.5649,15.5649
 2:45,20,225,77.375,6398.79,2.2532,-224.183,3.05,1.01025,1.01025,15.5088,15.5088
 2:50,20,225,77.375,-4147.65,-5.58646,206.754,3.05,1.02305,1.02305,15.4473,15.4473
 2:55,20,225,77.5,-16511.3,-14.1042,678.49,3,1.03705,1.03705,15.3811,15.3811
 3:00,20,0,77.5,-22355.9,-14.8256,699.275,3,1.05213,1.05213,15.3062,15.3062
 3:05,20,0,77.5,-25590.5,-1.88017,-68.3841,3,1.0692,1.0692,15.2192,15.2192
 3:10,20,0,77.5,-20026.7,19.3114,-1605.5,3,1.08903,1.08903,15.1244,15.1244
 3:15,20,225,77.5,-11498.8,28.1889,-3605.41,3,1.11063,1.11063,15.036,15.036
 3:20,20,225,77.5,12983.1,-6.77497,-5343.64,3,1.13076,1.13076,14.9697,14.9697
 3:25,20,225,77.75,29343.8,-115.174,-6264.11,2.9,1.14587,1.14587,14.9224,14.9224
 3:30,20,225,77.75,29611.7,-307.077,-5564.15,2.9,1.15663,1.15663,14.8487,14.8487
 3:35,20,225,77.75,-2213.3,-564.477,-3520.38,2.9,1.17342,1.17342,14.6477,14.6477
 3:40,20,225,78,-55485.6,-835.467,-881.455,2.8,1.21921,1.21921,14.1736,14.1736
 3:45,20,225,78,-77893.3,-1056.69,305.102,2.8,1.3272,1.3272,13.2721,13.2721
 3:50,20,225,78,-26635.8,-1173.4,-1493.72,2.8,1.53251,1.53251,11.8376,11.8376
 3:55,20,225,78,84066.8,-1194.88,-5458.17,2.8,1.85923,1.85923,9.85919,9.85919
 4:00,20,225,78,170275,-1225.59,-8085.87,2.8,2.3098,2.3098,7.43855,7.43855
 4:05,20,225,78,121058,-1431.76,-5203.89,2.8,2.86111,2.86111,4.73091,4.73091
 4:10,20,225,78,-93861.3,-1861.91,3545.2,2.8,3.47777,3.47777,1.82652,1.82652
 4:15,20,0,78,-361397,-2209.91,11730,2.8,4.13925,4.13925,-1.36555,-1.36555
 4:20,20,0,78,-558728,-1873.9,9374.69,2.8,4.86625,4.86625,-5.06468,-5.06468
 4:25,20,0,78.125,-646838,-577.989,-9437.01,2.75,5.70874,5.70874,-9.2967,-9.2967
 4:30,20,225,78.125,-431128,704.713,-42096.6,2.75,6.67259,6.67259,-13.5009,-13.5009
 4:35,20,225,78.125,381072,-653.467,-76170.8,2.75,7.63011,7.63011,-16.6194,-16.6194
 4:40,20,225,78.125,984793,-7777.8,-87866.3,2.75,8.34038,8.34038,-18.2526,-18.2526
 4:45,20,225,78.125,1.04875e+06,-21244.5,-57362.4,2.75,8.71237,8.71237,-20.7759,-20.7759
 4:50,20,225,78.125,27826.8,-36401.8,1135.32,2.75,9.28708,9.28708,-30.9327,-30.9327
 4:55,20,0,78.125,-1.77847e+06,-44411.4,54712.7,2.75,11.6003,11.6003,-58.4941,-58.4941
 5:00,20,0,78.125,-3.10579e+06,-34659.5,40239.6,2.75,17.8773,17.8773,-110.937,-110.937
 5:05,20,0,78.125,-3.9624e+06,-5317.37,-59642.3,2.75,29.8211,29.8211,-185.74,-185.74
 5:10,20,225,78.125,-2.71362e+06,1713.16,-162119,2.75,46.8573,46.8573,-264.432,-264.432
 5:15,20,225,78.125,2.28825e+06,-65665,-164780,2.75,64,64.7788,-323.358,-323.358
 5:20,20,225,78.125,6.08224e+06,-141775,-74228.9,2.75,64,78.1989,-371.944,-371.944
 5:25,20,225,78.125,6.55455e+06,-120737,9487.85,2.75,64,89.2641,-461.197,-461.197
 5:30,20,0,78.125,2.02276e+06,-39229.2,40858.4,2.75,64,109.591,-622.007,-622.007
 5:35,20,0,78.125,-2.7266e+06,31678.5,44852.7,2.75,64,146.214,-831.49,-831.49
 5:40,20,0,78.375,-8.68592e+06,81419.4,-38335.2,2.65,64,193.923,-1026.2,-1026.2
 5:45,20,225,78.375,-6.81703e+06,153992,-111257,2.65,64,238.266,-1119.12,-1119.12
 5:50,20,225,78.125,4.47588e+06,304793,-893326,2.75,64,259.429,-1059.88,-1059.88
 5:55,20,225,78.375,1.38723e+07,2.17601e+06,-1.07287e+07,2.65,64,245.937,-820.257,-820.257
 6:00,20,225,78.375,1.55492e+07,2.5617e+07,-1.95557e+08,2.65,64,191.365,-4.5199,-4.5199
 6:05,20,225,78.375,-445632,-1.87882e+08,1.45778e+09,2.65,5.58546,5.58546,7117.84,7117.84
 6:10,20,0,78.375,-1.85077e+07,-3.51467e+08,2.55706e+09,2.65,0,0,-8889.45,-8889.45
 6:15,20,0,78.375,4.22041e+07,9.965e+09,9.65768e+09,2.65,64,2029.07,-217224,-217224
 6:20,20,0,78.125,2.41581e+08,-7.66226e+12,-1.90163e+13,2.75,64,6336,1.44204e+06,1.44204e+06
 6:25,20,225,78.125,-1.95005e+11,-3.81589e+17,-8.68829e+17,2.75,0,0,-1.52334e+09,-1.52334e+09
 6:30,20,225,78.125,-8.93945e+15,-4.68226e+22,-9.357e+22,2.75,64,6336,-7.63253e+13,-7.63253e+13
 6:35,20,225,78.375,-9.62695e+20,-2.98618e+31,-5.64653e+31,2.65,64,6336,-9.36491e+18,-9.36491e+18
 6:40,20,225,78.125,-5.80919e+29,-nan(ind),-nan(ind),2.75,64,6336,-5.97235e+27,-5.97235e+27
 6:45,20,-nan(ind),78.125,-nan(ind),-nan(ind),-nan(ind),2.75,64,6336,-nan(ind),-nan(ind)
 6:50,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 6:55,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:00,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:05,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:10,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:15,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:20,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:25,20,-nan(ind),78.375,-nan(ind),-nan(ind),-nan(ind),2.65,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:30,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:35,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:40,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:45,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:50,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 7:55,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:00,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:05,20,-nan(ind),78.5,-nan(ind),-nan(ind),-nan(ind),2.6,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:10,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:15,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:20,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:25,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:30,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
 8:35,20,-nan(ind),78.75,-nan(ind),-nan(ind),-nan(ind),2.5,-nan(ind),-nan(ind),-nan(ind),-nan(ind)
