Time, T_zad, F_zm, T_zm, T_pm, T_pco, T_zco, T_0, F_cob0, F_cob1, T_r0, T_r1
 0:00,20,0,77,69.4555,29.4477,43.0559,3.2,0,0,14.9679,14.9679
 0:05,20,0,77.125,68.2325,33.7764,41.4323,3.15,0,0,14.941,14.941
 0:10,20,0,77.125,66.5327,36.2404,41.5117,3.15,0,0,14.9243,14.9243
 0:15,20,0,77.125,64.2018,36.5875,44.0463,3.15,0,0,14.9185,14.9185
 0:20,20,0,77.125,61.7263,36.4597,46.808,3.15,0,0,14.9248,14.9248
 0:25,20,0,77.125,59.5452,36.3325,49.0467,3.15,0,0,14.9376,14.9376
 0:30,20,0,77.125,57.788,36.206,50.7842,3.15,0,0,14.9531,14.9531
 0:35,20,0,77.125,56.4912,36.0803,52.0641,3.15,0,0,14.9692,14.9692
 0:40,20,0,77.125,55.5975,35.9554,52.9556,3.15,0,0,14.985,14.985
 0:45,20,0,77.125,55.0106,35.8313,53.5442,3.15,0,0,15.0003,15.0003
 0:50,20,0,77.125,54.6437,35.708,53.912,3.15,0,0,15.0153,15.0153
 0:55,20,0,77.125,54.4278,35.5856,54.128,3.15,0,0,15.03,15.03
 1:00,20,0,77.125,54.3103,35.464,54.2453,3.15,0,0,15.0442,15.0442
 1:05,20,0,77.375,54.2536,35.3431,54.302,3.05,0,0,15.0581,15.0581
 1:10,20,0,77.125,54.2321,35.2231,54.3235,3.15,0,0,15.0715,15.0715
 1:15,20,0,77.125,54.2293,35.1039,54.3264,3.15,0,0,15.0846,15.0846
 1:20,20,0,77.375,54.2351,34.9854,54.3205,3.05,0,0,15.0972,15.0972
 1:25,20,0,77.375,54.2439,34.8678,54.3117,3.05,0,0,15.1095,15.1095
 1:30,20,0,77.375,54.2528,34.7509,54.3028,3.05,0,0,15.1214,15.1214
 1:35,20,0,77.125,54.2604,34.6348,54.2953,3.15,0,0,15.1329,15.1329
 1:40,20,0,77.375,54.2663,34.5194,54.2894,3.05,0,0,15.1441,15.1441
 1:45,20,0,77.375,54.2706,34.4048,54.2851,3.05,0,0,15.1549,15.1549
 1:50,20,0,77.375,54.2735,34.2909,54.2821,3.05,0,0,15.1654,15.1654
 1:55,20,0,77.375,54.2755,34.1778,54.2802,3.05,0,0,15.1755,15.1755
 2:00,20,0,77.375,54.2767,34.0654,54.279,3.05,0,0,15.1852,15.1852
 2:05,20,0,77.375,54.2774,33.9537,54.2783,3.05,0,0,15.1946,15.1946
 2:10,20,0,77.375,54.2777,33.8428,54.2779,3.05,0,0,15.2037,15.2037
 2:15,20,0,77.375,54.2779,33.7325,54.2777,3.05,0,0,15.2125,15.2125
 2:20,20,0,77.375,54.278,33.623,54.2776,3.05,0,0,15.221,15.221
 2:25,20,0,77.375,54.278,33.5142,54.2776,3.05,0,0,15.2291,15.2291
 2:30,20,0,77.375,54.278,33.406,54.2777,3.05,0,0,15.237,15.237
 2:35,20,0,77.375,54.2779,33.2986,54.2777,3.05,0,0,15.2445,15.2445
 2:40,20,0,77.375,54.2779,33.1918,54.2777,3.05,0,0,15.2518,15.2518
 2:45,20,0,77.375,54.2779,33.0858,54.2778,3.05,0,0,15.2587,15.2587
 2:50,20,0,77.375,54.2779,32.9803,54.2778,3.05,0,0,15.2654,15.2654
