Time, T_zad, F_zm, T_zm, T_pm, T_pco, T_zco, T_0, F_cob0, F_cob1, T_r0, T_r1
 0:00,20,0.30161,77,69.4579,29.5454,42.9464,3.2,1.13873,1.13873,14.9679,14.9679
 0:05,20,0.729455,77.125,68.2494,34.207,40.9162,3.15,1.14605,1.14605,14.941,14.941
 0:10,20,0.857607,77.125,66.5763,36.8696,40.7206,3.15,1.15217,1.15217,14.9244,14.9244
 0:15,20,0.876051,77.125,64.2752,37.572,42.7134,3.15,1.15595,1.15595,14.9192,14.9192
 0:20,20,0.762583,77.125,61.8264,37.7206,45.0107,3.15,1.15716,1.15716,14.9264,14.9264
 0:25,20,0.629801,77.125,59.639,37.8384,46.8847,3.15,1.15552,1.15552,14.9408,14.9408
 0:30,20,0.521476,77.125,57.8381,38.0092,48.2872,3.15,1.15224,1.15224,14.9587,14.9587
 0:35,20,0.440705,77.125,56.4537,38.2717,49.2357,3.15,1.14818,1.14818,14.9777,14.9777
 0:40,20,0.386658,77.125,55.4317,38.6195,49.8043,3.15,1.14386,1.14386,14.9971,14.9971
 0:45,20,0.355075,77.125,54.6841,39.0248,50.0926,3.15,1.13944,1.13944,15.0169,15.0169
 0:50,20,0.340135,77.125,54.1314,39.4594,50.1923,3.15,1.13495,1.13495,15.0372,15.0372
 0:55,20,0.336441,77.125,53.7112,39.9005,50.1764,3.15,1.13033,1.13033,15.0581,15.0581
 1:00,20,0.339665,77.125,53.3779,40.3314,50.098,3.15,1.12556,1.12556,15.0799,15.0799
 1:05,20,0.346673,77.375,53.1009,40.7414,49.9916,3.05,1.1206,1.1206,15.1026,15.1026
 1:10,20,0.355403,77.125,52.8605,41.1248,49.8782,3.15,1.11545,1.11545,15.126,15.126
 1:15,20,0.364611,77.125,52.6447,41.4791,49.7689,3.15,1.11011,1.11011,15.1505,15.1505
 1:20,20,0.373619,77.375,52.4471,41.8042,49.669,3.05,1.10456,1.10456,15.1756,15.1756
 1:25,20,0.382113,77.375,52.2643,42.1013,49.5801,3.05,1.09883,1.09883,15.2016,15.2016
 1:30,20,0.389992,77.375,52.0944,42.3723,49.5019,3.05,1.09293,1.09293,15.2282,15.2282
 1:35,20,0.397269,77.125,51.9368,42.6193,49.4331,3.15,1.08687,1.08687,15.2554,15.2554
 1:40,20,0.404008,77.375,51.7904,42.8444,49.3726,3.05,1.08068,1.08068,15.2832,15.2832
 1:45,20,0.410288,77.375,51.6554,43.0498,49.3189,3.05,1.07436,1.07436,15.3114,15.3114
